make,manufactured,reg_date,type_of_vehicle,transmission,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
mitsubishi,2018.0,2018.0,mid-sized sedan,auto,59.0,1193.0,1.0,6220.0,8000.0,70.0,9286.0,19972.0,13542.0,5000.0,50100.0
honda,2008.0,2009.0,mpv,auto,103.0,1799.0,3.0,7300.0,18751.0,1174.0,11713.0,120555.0,19298.0,19298.0,25100.0
mercedes-benz,2018.0,2018.0,suv,auto,90.0,1595.0,1.0,13460.0,38510.0,740.0,50581.0,86000.0,28937.0,32512.0,118600.0
honda,2016.0,2018.0,suv,auto,112.0,1496.0,1.0,10990.0,32800.0,682.0,42233.0,4000.0,29650.0,23510.0,95600.0
audi,2017.0,2017.0,luxury sedan,auto,85.0,999.0,1.0,12910.0,46791.0,392.0,40985.0,38000.0,23895.0,15453.0,97700.0
mitsubishi,2009.0,2009.0,mid-sized sedan,auto,80.0,1499.0,3.0,8650.0,14743.0,821.0,9137.0,130000.0,18868.0,18868.0,29500.0
mercedes-benz,2017.0,2018.0,sports car,auto,135.0,1991.0,1.0,18990.0,32302.0,1202.0,64638.0,19738.0,45031.0,55044.0,181300.0
nissan,2018.0,2018.0,mid-sized sedan,auto,85.0,1598.0,1.0,8080.0,33798.0,742.0,35982.0,72345.0,16419.0,16419.0,71300.0
mercedes-benz,2019.0,2019.0,luxury sedan,auto,120.0,1332.0,1.0,17920.0,34000.0,586.0,58932.0,25000.0,36077.0,42508.0,180200.0
bentley,2015.0,2016.0,sports car,auto,373.0,3993.0,1.0,66090.0,55501.0,3940.0,244399.0,16000.0,175777.0,288399.0,526700.0
bmw,2010.0,2011.0,luxury sedan,auto,225.0,2979.0,3.0,11550.0,42683.0,2598.0,40216.0,115000.0,55335.0,55335.0,119700.0
mercedes-benz,2012.0,2012.0,sports car,auto,115.0,1595.0,1.0,18360.0,71001.0,740.0,27129.0,132922.0,32915.0,32915.0,43800.0
toyota,2008.0,2008.0,mid-sized sedan,auto,80.0,1598.0,4.0,7880.0,14835.0,965.0,6706.0,149400.0,16084.0,16084.0,19600.0
mercedes-benz,2014.0,2014.0,luxury sedan,auto,245.0,2996.0,1.0,28920.0,71990.0,2382.0,118878.0,100000.0,97016.0,146629.0,184800.0
lexus,2018.0,2018.0,luxury sedan,auto,151.0,2494.0,1.0,16480.0,20330.0,1292.0,55467.0,18500.0,45633.0,55887.0,151600.0
mitsubishi,2006.0,2006.0,sports car,manual,206.0,1997.0,6.0,24600.0,55187.0,1815.0,29166.0,97000.0,29370.0,32307.0,143000.0
ferrari,2008.0,2009.0,sports car,auto,456.0,5999.0,1.0,49250.0,31335.0,9199.0,23222.0,88000.0,410321.0,410321.0,401500.0
bmw,2016.0,2016.0,suv,auto,135.0,1997.0,1.0,16500.0,56002.0,1210.0,55911.0,87000.0,34969.0,40957.0,110900.0
mercedes-benz,2013.0,2013.0,hatchback,auto,155.0,1991.0,3.0,18050.0,76607.0,1202.0,34755.0,74000.0,32021.0,31830.0,58100.0
mercedes-benz,2018.0,2018.0,luxury sedan,auto,115.0,1595.0,1.0,14830.0,32429.0,740.0,48221.0,20000.0,30019.0,34027.0,132900.0
toyota,2020.0,2021.0,luxury sedan,auto,160.0,2487.0,1.0,13690.0,47001.0,1784.0,62721.0,4379.0,33252.0,23553.0,157300.0
honda,2008.0,2008.0,mpv,auto,103.0,1799.0,4.0,7840.0,17496.0,1271.0,6864.0,157605.0,19860.0,19860.0,16900.0
nissan,2015.0,2015.0,suv,auto,85.0,1197.0,1.0,10150.0,55399.0,508.0,32353.0,119900.0,18413.0,13413.0,53700.0
honda,2009.0,2011.0,mid-sized sedan,auto,103.0,1799.0,3.0,9090.0,23851.0,1076.0,21943.0,72000.0,25597.0,25597.0,46000.0
honda,2018.0,2018.0,hatchback,auto,101.0,1496.0,1.0,9400.0,31001.0,682.0,27095.0,52843.0,17543.0,7543.0,75700.0
toyota,2016.0,2016.0,suv,auto,111.0,1986.0,2.0,12720.0,55501.0,1196.0,52500.0,83000.0,32436.0,32411.0,88900.0
toyota,2017.0,2017.0,suv,auto,90.0,1797.0,1.0,11330.0,49000.0,974.0,33185.0,46000.0,27129.0,5000.0,79100.0
lexus,2018.0,2018.0,suv,auto,175.0,1998.0,2.0,16480.0,32001.0,1210.0,59382.0,60000.0,40767.0,49074.0,154900.0
toyota,2009.0,2009.0,mpv,auto,97.0,1794.0,2.0,8520.0,16509.0,1264.0,8440.0,112338.0,18662.0,18662.0,24000.0
lamborghini,2013.0,2013.0,sports car,auto,515.0,6498.0,5.0,365250.0,97889.0,7856.0,214848.0,25000.0,363195.0,363195.0,833800.0
mercedes-benz,2007.0,2007.0,luxury sedan,auto,170.0,2997.0,1.0,11010.0,52491.0,3573.0,30272.0,113000.0,81510.0,89661.0,69800.0
lexus,2020.0,2020.0,luxury sedan,auto,152.0,2487.0,1.0,15940.0,37102.0,1784.0,69429.0,12238.0,40210.0,48294.0,183500.0
bmw,2017.0,2017.0,mpv,auto,75.0,1499.0,1.0,12690.0,42900.0,684.0,49063.0,61677.0,27881.0,31034.0,101000.0
hyundai,2016.0,2016.0,mid-sized sedan,auto,93.8,1591.0,1.0,7400.0,30020.0,238.0,23408.0,114761.0,13007.0,13007.0,46000.0
toyota,2009.0,2009.0,mpv,auto,106.0,1797.0,3.0,6890.0,39936.0,1169.0,31752.0,112000.0,22481.0,22481.0,60300.0
bmw,2018.0,2018.0,mpv,auto,80.0,1499.0,1.0,12230.0,25501.0,684.0,45714.0,34183.0,31412.0,35977.0,118600.0
toyota,2018.0,2018.0,mid-sized sedan,auto,96.0,1598.0,1.0,9800.0,40000.0,742.0,40855.0,73000.0,19741.0,19741.0,81100.0
bmw,2016.0,2016.0,hatchback,auto,85.0,1496.0,2.0,11800.0,49501.0,1082.0,29244.0,79000.0,23325.0,9655.0,67000.0
mercedes-benz,2015.0,2016.0,suv,auto,245.0,2996.0,3.0,37270.0,60001.0,2382.0,96883.0,70000.0,71716.0,101089.0,234100.0
mitsubishi,2019.0,2019.0,suv,auto,120.0,1499.0,3.0,11350.0,36001.0,684.0,52366.0,31000.0,28035.0,31249.0,117500.0
toyota,2019.0,2020.0,mpv,auto,73.0,1496.0,1.0,9460.0,31210.0,682.0,39707.0,13254.0,25151.0,17212.0,98800.0
nissan,2017.0,2017.0,hatchback,auto,72.0,1198.0,2.0,8280.0,41617.0,508.0,30057.0,60000.0,15840.0,5840.0,59400.0
skoda,2019.0,2020.0,mid-sized sedan,auto,180.0,1984.0,1.0,15250.0,35001.0,1194.0,53411.0,10500.0,26681.0,29354.0,166600.0
honda,2016.0,2016.0,suv,auto,96.0,1496.0,2.0,9910.0,55200.0,682.0,34261.0,95000.0,20132.0,10185.0,59200.0
honda,2008.0,2008.0,hatchback,auto,73.0,1339.0,3.0,8660.0,16170.0,767.0,6725.0,128502.0,11639.0,11639.0,19800.0
mini,2020.0,2020.0,hatchback,auto,75.0,1499.0,1.0,12830.0,37766.0,684.0,61930.0,13000.0,32038.0,36854.0,148400.0
mercedes-benz,2013.0,2014.0,luxury sedan,auto,245.0,3498.0,1.0,37010.0,84578.0,3164.0,108022.0,26000.0,100116.0,147209.0,175800.0
mazda,2016.0,2016.0,stationwagon,auto,141.0,2488.0,1.0,11690.0,56956.0,1786.0,53464.0,38238.0,28680.0,32152.0,84500.0
land rover,2017.0,2017.0,suv,auto,110.0,1999.0,1.0,17900.0,52751.0,1812.0,70652.0,49000.0,42996.0,52195.0,146300.0
toyota,2006.0,2007.0,mpv,auto,97.0,1794.0,3.0,9390.0,26246.0,1458.0,3912.0,214890.0,20286.0,22315.0,7700.0
hyundai,2017.0,2017.0,mid-sized sedan,auto,93.8,1591.0,1.0,8580.0,42902.0,738.0,35506.0,65000.0,12032.0,12032.0,64900.0
hyundai,2016.0,2016.0,suv,auto,138.0,2359.0,2.0,13760.0,57002.0,1634.0,53192.0,79000.0,28382.0,31735.0,95500.0
honda,2016.0,2016.0,hatchback,auto,96.0,1498.0,2.0,10710.0,55200.0,684.0,35737.0,66000.0,17273.0,12273.0,64700.0
mazda,2018.0,2018.0,mid-sized sedan,auto,88.0,1496.0,2.0,8680.0,38941.0,682.0,37335.0,42427.0,14843.0,14843.0,72400.0
audi,2016.0,2016.0,luxury sedan,auto,185.0,1984.0,1.0,19780.0,51010.0,1194.0,76717.0,28280.0,56821.0,74278.0,146300.0
honda,2020.0,2021.0,hatchback,auto,72.0,1317.0,1.0,8410.0,41801.0,578.0,44772.0,88.0,17089.0,5000.0,93500.0
rolls-royce,2013.0,2013.0,luxury sedan,auto,420.0,6592.0,3.0,139310.0,92901.0,8004.0,250739.0,39565.0,423356.0,423356.0,528000.0
bmw,2011.0,2011.0,luxury sedan,auto,150.0,2497.0,4.0,9270.0,47316.0,1976.0,45825.0,152600.0,49428.0,49428.0,98800.0
honda,2016.0,2016.0,suv,auto,96.0,1496.0,1.0,10030.0,55200.0,682.0,34021.0,110000.0,20273.0,10383.0,59200.0
hyundai,2017.0,2018.0,suv,auto,138.0,2359.0,1.0,13350.0,39001.0,1634.0,43785.0,28000.0,23021.0,24230.0,109800.0
honda,2015.0,2015.0,mpv,auto,129.0,2356.0,2.0,13520.0,59889.0,1630.0,47632.0,50000.0,28685.0,32159.0,80100.0
bmw,2013.0,2014.0,luxury sedan,auto,135.0,1997.0,2.0,17030.0,79000.0,1210.0,52060.0,108900.0,47670.0,53738.0,76800.0
mitsubishi,2017.0,2017.0,mid-sized sedan,auto,86.0,1590.0,2.0,8680.0,42801.0,738.0,34676.0,62000.0,12260.0,12260.0,63600.0
honda,2018.0,2019.0,mpv,auto,101.0,1496.0,1.0,11300.0,36961.0,682.0,42402.0,23300.0,26641.0,19298.0,104500.0
audi,2016.0,2016.0,luxury sedan,auto,92.0,1395.0,3.0,11780.0,50000.0,624.0,38275.0,79950.0,25069.0,17097.0,75400.0
volvo,2020.0,2021.0,luxury sedan,auto,300.0,1969.0,1.0,22810.0,47806.0,1176.0,94945.0,6288.0,58924.0,78064.0,284900.0
honda,2008.0,2009.0,hatchback,auto,73.0,1339.0,3.0,8370.0,14664.0,708.0,8694.0,163888.0,12615.0,12615.0,27300.0
mercedes-benz,2017.0,2017.0,luxury sedan,auto,143.0,1950.0,2.0,19260.0,57000.0,1734.0,88149.0,92920.0,59621.0,69318.0,172700.0
suzuki,2008.0,2008.0,hatchback,auto,66.0,1242.0,2.0,6160.0,27571.0,694.0,20078.0,123000.0,10517.0,10517.0,49400.0
mitsubishi,2019.0,2019.0,mid-sized sedan,auto,59.0,1193.0,1.0,5930.0,19704.0,70.0,19054.0,9498.0,13912.0,5000.0,53400.0
mclaren,2017.0,2018.0,sports car,auto,530.0,3994.0,3.0,84530.0,47390.0,3940.0,322080.0,21000.0,232116.0,389809.0,825000.0
mercedes-benz,2013.0,2013.0,sports car,auto,115.0,1595.0,1.0,18000.0,83751.0,740.0,39085.0,69000.0,34809.0,35733.0,61400.0
mercedes-benz,2019.0,2019.0,suv,auto,90.0,1595.0,1.0,13590.0,28589.0,740.0,47009.0,27000.0,28463.0,31849.0,138400.0
bmw,2016.0,2016.0,luxury sedan,auto,135.0,1998.0,1.0,17810.0,55501.0,1210.0,58941.0,51000.0,38266.0,40573.0,123000.0
honda,2016.0,2016.0,mpv,auto,88.0,1497.0,1.0,10300.0,43000.0,684.0,33383.0,67000.0,19669.0,19669.0,62500.0
