,make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
31,honda,airwave,2008.0,18-feb-2009,stationwagon,"coe car, premium ad car",auto,1160.0,81.0,,1496.0,3.0,8380.0,12864.0,887.0,6386.0,141000.0,13937.0,13937.0,22900.0
32,bmw,x4,2020.0,18-jan-2021,suv,"parf car, almost new car",auto,1750.0,185.0,,1998.0,1.0,23760.0,45510.0,1210.0,101305.0,7838.0,59276.0,78697.0,289100.0
33,,vezel,2018.0,13-dec-2019,suv,"parf car, premium ad car, hybrid cars",auto,1280.0,112.0,petrol-electric,1496.0,1.0,10460.0,40101.0,682.0,46021.0,18300.0,27213.0,20099.0,106600.0
34,mazda,3,2016.0,21-jun-2016,mid-sized sedan,"parf car, low mileage car",auto,1321.0,88.0,,1496.0,1.0,10010.0,53694.0,682.0,33798.0,47500.0,16296.0,11296.0,59300.0
35,toyota,alphard,2021.0,30-jun-2021,mpv,"parf car, almost new car, low mileage car",auto,2030.0,134.0,,2493.0,1.0,19390.0,58001.0,1792.0,93345.0,88.0,51972.0,65550.0,246200.0
36,bmw,x6,2011.0,22-dec-2011,suv,"coe car, premium ad car, low mileage car",auto,2305.0,408.0,,4395.0,4.0,16880.0,41823.61992102917,4568.0,44184.92604233483,57756.0,114831.0,114831.0,185800.0
37,,lancer,2009.0,20-may-2009,mid-sized sedan,"coe car, premium ad car",manual,1162.0,79.0,,1584.0,5.0,8130.0,13024.0,954.0,6344.0,73207.97487437187,11669.0,11669.0,21800.0
38,porsche,cayenne,2011.0,14-nov-2011,suv,"coe car, low mileage car",auto,2105.0,220.0,,3598.0,2.0,15550.0,41823.61992102917,3322.0,44184.92604233483,90000.0,74718.0,74718.0,171100.0
39,honda,freed,2020.0,19-may-2021,mpv,"parf car, almost new car, premium ad car, hybrid cars",auto,1430.0,101.0,petrol-electric,1496.0,1.0,12080.0,60001.0,1341.5123687119956,71057.0,73207.97487437187,28477.0,16868.0,138600.0
40,lexus,nx,2015.0,31-jul-2015,suv,"parf car, premium ad car, hybrid cars",auto,1800.0,147.0,petrol-electric,2494.0,2.0,17870.0,65501.0,1792.0,64156.0,97015.0,51157.0,59083.0,109800.0
41,honda,civic,2008.0,25-mar-2008,mid-sized sedan,coe car,manual,1190.0,92.0,,1595.0,3.0,7160.0,19637.0,1036.0,6198.0,73207.97487437187,18850.0,20735.0,12400.0
43,honda,vezel,2016.0,24-jun-2016,suv,"parf car, hybrid cars",auto,1300.0,112.0,petrol-electric,1496.0,2.0,10280.0,57010.0,682.0,40330.0,73207.97487437187,25911.0,18276.0,64700.0
44,bmw,528i,2011.0,30-dec-2011,luxury sedan,"coe car, premium ad car",auto,1620.0,180.0,,1997.0,3.0,10550.0,41823.61992102917,1210.0,44184.92604233483,73207.97487437187,52394.0,52394.0,116100.0
45,lamborghini,aventador,2012.0,12-jun-2012,sports car,"coe car, rare & exotic, low mileage car",auto,1690.0,515.0,,6498.0,6.0,62960.0,53932.0,7856.0,52942.0,67000.0,373084.0,373084.0,679800.0
46,audi,r8,2008.0,30-apr-2008,sports car,"coe car, premium ad car, low mileage car",auto,1565.0,309.0,,4163.0,6.0,25750.0,50451.0,5888.0,31114.0,99742.0,139214.0,139214.0,174700.0
47,mercedes-benz,e200,2005.0,22-dec-2005,luxury sedan,"coe car, low mileage car",auto,1530.0,120.0,,1796.0,3.0,8110.0,59798.0,1461.0,25656.0,143000.0,57408.0,63149.0,38300.0
48,mercedes-benz,maybach,2016.0,20-oct-2016,luxury sedan,"parf car, rare & exotic",auto,2335.0,390.0,,5980.0,2.0,59200.0,56956.0,7046.0,288500.0,60500.0,207704.0,345868.0,525800.0
49,,jazz,2016.0,01-sep-2016,hatchback,parf car,auto,1040.0,73.0,,1318.0,2.0,9180.0,55200.0,578.0,36254.0,110000.0,16398.0,11398.0,57000.0
50,volkswagen,jetta,2015.0,18-sep-2015,mid-sized sedan,"parf car, premium ad car",auto,1417.0,90.0,,1390.0,3.0,9940.0,57089.0,620.0,38748.0,127000.0,21568.0,22196.0,56700.0
51,bmw,216i,2021.0,15-jun-2021,hatchback,"parf car, almost new car, low mileage car",auto,1380.0,80.0,,1499.0,1.0,11860.0,48510.0,684.0,74135.0,41.0,31169.0,35637.0,147100.0
52,mercedes-benz,glb200,2020.0,22-dec-2020,suv,"parf car, almost new car, premium ad car",auto,1555.0,120.0,,1332.0,1.0,17260.0,39000.0,586.0,69090.0,9700.0,36865.0,43611.0,201100.0
53,,elantra,2015.0,26-oct-2015,mid-sized sedan,"parf car, premium ad car",auto,1292.0,97.0,,1591.0,1.0,8730.0,57301.0,738.0,32833.0,102016.0,12771.0,12771.0,47100.0
54,honda,accord,2007.0,07-jun-2007,sports car,"coe car, premium ad car",manual,1390.0,162.0,,1998.0,6.0,13140.0,52491.0,1815.0,30272.0,73207.97487437187,25564.0,28121.0,83400.0
55,bmw,z4,2010.0,29-nov-2010,sports car,"coe car, direct owner sale, low mileage car",auto,1430.0,150.0,,2497.0,4.0,13720.0,35416.0,1976.0,30467.0,58000.0,41849.0,41849.0,129800.0
56,lexus,es,2014.0,03-sep-2015,luxury sedan,"parf car, premium ad car, hybrid cars, sgcarmart warranty cars",auto,1705.0,151.0,petrol-electric,2494.0,1.0,14970.0,57885.0,1792.0,54860.0,73207.97487437187,41506.0,45109.0,91100.0
57,bmw,116i,2012.0,30-apr-2012,hatchback,"parf car, direct owner sale, low mileage car",auto,1310.0,100.0,,1598.0,2.0,27010.0,56501.0,742.0,17432.0,67000.0,27217.0,27217.0,35100.0
58,toyota,wish,2016.0,04-nov-2016,mpv,"parf car, premium ad car",auto,1360.0,105.0,,1798.0,1.0,11130.0,56410.0,976.0,44269.0,58000.0,19955.0,19955.0,74600.0
59,nissan,x-trail,2016.0,24-jan-2017,suv,"parf car, premium ad car",auto,1626.0,106.0,,1997.0,1.0,11100.0,52807.0,1210.0,46716.0,81900.0,23227.0,24518.0,79000.0
60,toyota,corolla,2015.0,15-mar-2016,mid-sized sedan,"parf car, premium ad car",auto,1205.0,90.0,,1598.0,2.0,8810.0,45000.0,742.0,34203.0,121496.0,19589.0,19589.0,54900.0
61,mercedes-benz,amg,2020.0,07-jan-2021,suv,"parf car, rare & exotic, almost new car",auto,1875.0,287.0,,2996.0,1.0,28940.0,49300.0,2382.0,128014.0,9000.0,76153.0,109076.0,358400.0
62,volkswagen,polo,2017.0,28-sep-2017,hatchback,parf car,auto,1139.0,66.0,,1197.0,1.0,8530.0,42902.0,508.0,31848.0,77368.0,17610.0,7610.0,61400.0
63,audi,a3,2014.0,28-feb-2015,luxury sedan,parf car,auto,1310.0,92.0,,1395.0,2.0,12800.0,62002.0,624.0,31572.0,79000.0,27192.0,15069.0,57800.0
64,volkswagen,beetle,2018.0,26-feb-2019,hatchback,parf car,auto,1340.0,77.0,,1197.0,1.0,10880.0,25920.0,508.0,34563.0,56392.0,20093.0,20131.0,101000.0
65,audi,r8,2011.0,30-sep-2011,sports car,"coe car, low mileage car",auto,1740.0,316.0,,4163.0,4.0,25760.0,53932.0,4206.0,53134.0,42000.0,159977.0,159977.0,279200.0
66,audi,a5,2010.0,17-jun-2010,sports car,coe car,auto,1655.0,155.0,,1984.0,3.0,9890.0,33568.0,1433.0,29466.0,122000.0,47399.0,47399.0,95500.0
67,proton,exora,2010.0,21-apr-2010,mpv,"coe car, low mileage car",auto,1422.0,93.0,,1597.0,2.0,7330.0,16438.0,890.0,12016.0,106000.0,14128.0,14128.0,29500.0
68,,hiace,2019.0,09-may-2019,van,premium ad car,manual,1700.0,133.66807772380292,diesel,2982.0,1.0,9190.0,24651.0,1341.5123687119956,18998.0,73207.97487437187,28136.0,1407.0,77900.0
69,honda,hr-v,2018.0,09-jul-2018,suv,"parf car, sgcarmart warranty cars",auto,1185.0,96.0,,1496.0,1.0,9350.0,34110.0,682.0,37769.0,41232.0,19096.0,19096.0,81200.0
70,mercedes-benz,c180,2011.0,18-jul-2011,mid-sized sedan,"coe car, low mileage car",auto,1500.0,115.0,,1597.0,2.0,7990.0,46896.0,816.0,46331.0,99000.0,31019.0,31019.0,86800.0
71,honda,hr-v,2016.0,02-dec-2016,suv,"parf car, premium ad car, low mileage car",auto,1190.0,96.0,,1496.0,1.0,9610.0,52668.0,682.0,42973.0,45000.0,23772.0,20281.0,66900.0
72,hyundai,ioniq,2019.0,23-may-2019,hatchback,"parf car, hybrid cars",auto,1370.0,103.6,petrol-electric,1580.0,1.0,10290.0,48010.0,732.0,52328.0,73207.97487437187,27279.0,20191.0,98800.0
73,,hiace,2021.0,24-mar-2021,van,almost new car,auto,1680.0,133.66807772380292,diesel,2982.0,2.0,9440.0,39589.0,1341.5123687119956,37723.0,73207.97487437187,29353.0,1468.0,98900.0
74,suzuki,sx4,2015.0,18-nov-2015,suv,"parf car, premium ad car, low mileage car",auto,1125.0,86.0,,1586.0,1.0,10450.0,55399.0,736.0,35425.0,48200.0,17108.0,17108.0,58100.0
75,,lancer,2009.0,26-may-2010,mid-sized sedan,"coe car, premium ad car",auto,1313.0,80.0,,1499.0,1.0,7950.0,25525.0,821.0,19273.0,73207.97487437187,18083.0,18083.0,66000.0
77,proton,exora,2009.0,23-may-2011,mpv,coe car,auto,1422.0,93.0,,1597.0,1.0,7030.0,21142.0,816.0,19798.0,150738.0,14169.0,14169.0,36200.0
78,bentley,continental,2009.0,18-feb-2011,sports car,"coe car, direct owner sale",auto,2350.0,449.0,,5998.0,5.0,19590.0,38216.0,7781.0,44184.92604233483,73207.97487437187,185878.0,185878.0,198000.0
79,honda,jazz,2016.0,07-mar-2016,hatchback,parf car,auto,1046.0,96.0,,1498.0,2.0,9750.0,43000.0,684.0,27367.0,62118.0,16259.0,11259.0,54800.0
80,nissan,nv350,2016.0,17-nov-2016,van,-,auto,1800.0,133.66807772380292,diesel,2488.0,2.0,8950.0,41444.0,1341.5123687119956,21676.0,99000.0,24687.0,1235.0,51500.0
81,,hiace,2017.0,15-nov-2017,van,premium ad car,manual,1780.0,133.66807772380292,diesel,2982.0,2.0,8960.0,35586.0,1341.5123687119956,22151.0,73207.97487437187,31917.0,1596.0,61400.0
82,,vios,2010.0,12-nov-2010,mid-sized sedan,"coe car, direct owner sale, low mileage car",auto,1095.0,80.0,,1497.0,3.0,6880.0,17600.0,752.0,14736.0,105000.0,12116.0,12116.0,31700.0
83,toyota,camry,2006.0,10-jan-2007,luxury sedan,coe car,auto,1530.0,108.0,,1998.0,1.0,7440.0,48479.0,1815.0,23336.0,73207.97487437187,28129.0,30942.0,39400.0
84,mercedes-benz,amg,2011.0,09-jan-2012,sports car,"coe car, premium ad car",auto,1540.0,225.0,,3498.0,4.0,11970.0,41823.61992102917,3164.0,44184.92604233483,123400.0,73659.0,73659.0,131800.0
85,bmw,530i,2018.0,31-oct-2018,luxury sedan,parf car,auto,1540.0,185.0,,1998.0,1.0,21680.0,32552.0,1210.0,82489.0,33000.0,60007.0,80013.0,215400.0
86,toyota,camry,2009.0,28-apr-2009,luxury sedan,"coe car, consignment car",auto,1530.0,108.0,,1998.0,4.0,9300.0,16509.0,1573.0,8521.0,340000.0,26727.0,26727.0,26400.0
87,toyota,wish,2008.0,16-jul-2008,mpv,"coe car, low mileage car",auto,1310.0,97.0,,1794.0,2.0,6410.0,36888.0,1361.0,25215.0,97800.0,18803.0,18803.0,48200.0
88,lexus,es,2020.0,09-feb-2021,luxury sedan,"parf car, almost new car, premium ad car",auto,1620.0,152.0,,2487.0,1.0,16650.0,49500.0,1784.0,75745.0,8027.0,40319.0,48447.0,200000.0
89,mazda,3,2017.0,14-jul-2017,mid-sized sedan,"opc car, parf car, premium ad car, low mileage car",auto,1310.0,88.0,,1496.0,1.0,8050.0,25801.0,182.0,23459.0,21000.0,16034.0,11034.0,58200.0
90,kia,cerato,2016.0,30-mar-2017,mid-sized sedan,"parf car, premium ad car, low mileage car",auto,1295.0,95.3,,1591.0,1.0,8570.0,50889.0,738.0,41786.0,40000.0,17755.0,17755.0,62500.0
91,honda,civic,2008.0,24-nov-2008,mid-sized sedan,coe car,auto,1240.0,103.0,,1799.0,3.0,7420.0,32121.0,1271.0,23294.0,73207.97487437187,21736.0,21736.0,59200.0
92,mazda,2,2019.0,25-mar-2020,luxury sedan,"parf car, direct owner sale",auto,1515.0,121.0,,1998.0,1.0,10800.0,30012.0,1210.0,40405.0,19000.0,19734.0,19734.0,112200.0
93,toyota,previa,2019.0,07-feb-2020,mpv,parf car,auto,1775.0,125.0,,2362.0,1.0,14650.0,30890.0,1638.0,56278.0,19000.0,34487.0,40282.0,158200.0
94,mercedes-benz,e200,1999.0,12-oct-1999,luxury sedan,"coe car, premium ad car",auto,1554.5509259259259,133.66807772380292,,1998.0,5.0,6160.0,33018.0,1815.0,25103.0,73207.97487437187,53994.0,75592.0,51500.0
95,bmw,316i,2013.0,30-sep-2013,luxury sedan,parf car,auto,1405.0,100.0,,1598.0,2.0,15130.0,79223.0,742.0,31297.0,80000.0,31108.0,25552.0,48900.0
96,,civic,2007.0,16-may-2007,mid-sized sedan,coe car,auto,1312.0,114.0,,1998.0,2.0,8980.0,52008.0,1815.0,29552.0,164500.0,21597.0,23757.0,56100.0
97,toyota,dyna,2011.0,30-jun-2011,truck,"coe car, premium ad car",manual,1800.0,133.66807772380292,diesel,2982.0,2.0,14484.37163485071,20162.0,1341.5123687119956,44184.92604233483,73207.97487437187,24970.0,1249.0,43800.0
98,mercedes-benz,e200,2011.0,20-apr-2012,luxury sedan,coe car,auto,1615.0,135.0,,1796.0,2.0,9870.0,41823.61992102917,974.0,44184.92604233483,139000.0,52532.0,52532.0,108700.0
99,audi,rs,2010.0,25-may-2010,sports car,coe car,manual,1450.0,250.0,,2480.0,6.0,16560.0,33018.0,2131.0,25103.0,113888.0,74411.0,74411.0,138500.0
100,bmw,523i,2010.0,21-jan-2011,luxury sedan,coe car,auto,1650.0,150.0,,2497.0,4.0,8320.0,40714.0,1976.0,38093.0,127033.0,38395.0,38395.0,85600.0
101,mercedes-benz,250,1981.0,01-nov-2019,luxury sedan,"imported used vehicle, parf car, rare & exotic, vintage cars",auto,1375.0,103.0,,2525.0,1.0,14484.37163485071,3913.0,280.0,44184.92604233483,73207.97487437187,3897.0,3897.0,38500.0
102,volkswagen,caddy,2010.0,28-jan-2011,van,coe car,auto,1420.0,133.66807772380292,diesel,1598.0,2.0,5030.0,23950.0,1341.5123687119956,21804.0,163000.0,27237.0,1362.0,50400.0
103,toyota,estima,2008.0,08-aug-2008,mpv,"coe car, direct owner sale",auto,1730.0,125.0,,2362.0,6.0,7760.0,34991.0,2129.0,24340.0,73207.97487437187,26512.0,19948.0,59400.0
104,citroen,c4,2015.0,31-jul-2015,mpv,"parf car, premium ad car",auto,1320.0,85.0,diesel,1560.0,1.0,10260.0,55889.0,1144.0,30424.0,70000.0,26069.0,13497.0,51200.0
105,opel,mokka,2016.0,11-jan-2017,suv,"parf car, premium ad car",auto,1501.0,100.0,diesel,1598.0,1.0,10140.0,46229.0,1182.0,37201.0,172569.0,21024.0,16434.0,69100.0
106,,corolla,2008.0,26-sep-2008,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,1195.0,80.0,,1598.0,4.0,9020.0,16170.0,965.0,6743.0,120383.0,16084.0,16084.0,20700.0
107,nissan,latio,2008.0,15-may-2009,hatchback,"coe car, direct owner sale",auto,1130.0,80.0,,1498.0,3.0,7280.0,13943.0,889.0,7587.0,135000.0,20880.0,20880.0,21800.0
108,audi,rs,2020.0,21-sep-2020,mid-sized sedan,"parf car, almost new car, low mileage car",auto,1795.0,331.0,,2894.0,2.0,32670.0,41510.0,2262.0,133542.0,10000.0,86726.0,128107.0,394800.0
109,bmw,x1,2016.0,30-may-2016,suv,parf car,auto,1430.0,100.0,,1499.0,1.0,14480.0,49156.0,684.0,43332.0,84800.0,29796.0,28715.0,91100.0
110,bmw,x3,2019.0,30-oct-2020,suv,"parf car, almost new car",auto,1685.0,135.0,,1998.0,1.0,18800.0,40301.0,1210.0,73219.0,10232.0,40234.0,48328.0,216500.0
111,honda,civic,2016.0,14-oct-2016,mid-sized sedan,"parf car, premium ad car",auto,1249.0,92.0,,1597.0,1.0,10910.0,53000.0,742.0,41882.0,89000.0,19541.0,19541.0,72400.0
112,bmw,528i,2012.0,28-sep-2012,luxury sedan,"coe car, premium ad car",auto,1620.0,180.0,,1997.0,1.0,11970.0,41823.61992102917,1210.0,44184.92604233483,93000.0,48559.0,48559.0,131800.0
113,nissan,nv200,2021.0,12-jul-2021,van,"almost new car, premium ad car",auto,1160.0,133.66807772380292,petrol,1598.0,1.0,5660.0,20235.0,1341.5123687119956,19997.0,73207.97487437187,18306.0,916.0,61500.0
114,maserati,quattroporte,2014.0,23-may-2014,luxury sedan,parf car,auto,1900.0,302.0,,2979.0,3.0,36320.0,93500.0,2362.0,121869.0,73207.97487437187,104655.0,160379.0,197800.0
115,honda,civic,2008.0,19-nov-2008,mid-sized sedan,"coe car, hybrid cars",auto,1290.0,70.0,petrol-electric,1339.0,3.0,6340.0,29670.0,767.0,21476.0,73207.97487437187,29539.0,17724.0,50500.0
116,bmw,x5,2018.0,21-jan-2019,suv,"parf car, premium ad car",auto,2060.0,250.0,,2998.0,2.0,32310.0,32909.0,2384.0,115445.0,73207.97487437187,83555.0,122399.0,328700.0
117,nissan,x-trail,2016.0,14-oct-2016,suv,parf car,auto,1626.0,106.0,,1997.0,1.0,11790.0,55501.0,1210.0,46899.0,50000.0,23227.0,24518.0,80100.0
118,mercedes-benz,s350,2010.0,18-mar-2010,luxury sedan,"coe car, consignment car, low mileage car",auto,1850.0,200.0,,3498.0,2.0,15530.0,35416.0,3797.0,30332.0,38750.0,102205.0,102205.0,146300.0
119,toyota,wish,2008.0,04-apr-2008,mpv,coe car,auto,1300.0,97.0,,1794.0,4.0,7880.0,20441.0,1361.0,6485.0,184000.0,16728.0,16728.0,13800.0
120,nissan,nv200,2010.0,15-apr-2011,van,"coe car, premium ad car",manual,1280.0,133.66807772380292,diesel,1461.0,2.0,6040.0,19240.0,1341.5123687119956,17701.0,133402.0,23466.0,1174.0,30600.0
121,mercedes-benz,vito,2019.0,24-mar-2021,van,almost new car,manual,1780.0,133.66807772380292,diesel,1598.0,1.0,8020.0,37513.0,1341.5123687119956,35941.0,73207.97487437187,27952.0,1398.0,84500.0
122,toyota,previa,2009.0,09-sep-2009,mpv,coe car,auto,1795.0,125.0,,2362.0,3.0,7060.0,37941.0,1966.0,30519.0,190000.0,35039.0,35039.0,62500.0
123,porsche,cayenne,2011.0,29-apr-2011,suv,coe car,auto,2105.0,220.0,,3598.0,2.0,15060.0,47316.0,3654.0,45799.0,112437.0,80197.0,80197.0,160400.0
124,lexus,is,2007.0,18-jan-2008,luxury sedan,coe car,auto,1625.0,153.0,,2500.0,4.0,15760.0,26004.0,2520.0,3234.0,168818.0,36637.0,40301.0,10800.0
125,mercedes-benz,amg,2018.0,24-sep-2018,luxury sedan,"parf car, premium ad car",auto,1615.0,155.0,,1991.0,1.0,20460.0,31307.0,1202.0,74363.0,31000.0,54329.0,69793.0,196700.0
126,mercedes-benz,amg,2019.0,24-feb-2020,luxury sedan,"parf car, premium ad car",auto,1410.0,100.0,,1332.0,1.0,15750.0,32889.0,586.0,65033.0,22450.0,41193.0,49671.0,173700.0
127,,lancer,2010.0,20-jul-2010,mid-sized sedan,"coe car, premium ad car",auto,1427.0,114.0,,1998.0,5.0,7950.0,33568.0,1452.0,29889.0,152600.0,19766.0,19766.0,77900.0
128,honda,accord,2008.0,29-apr-2009,luxury sedan,coe car,auto,1505.0,115.0,,1997.0,4.0,8590.0,17706.0,1573.0,9479.0,207000.0,33066.0,33066.0,25300.0
129,nissan,latio,2007.0,10-may-2008,mid-sized sedan,coe car,auto,1130.0,80.0,,1498.0,2.0,7800.0,19096.0,958.0,6508.0,73207.97487437187,15032.0,15032.0,14600.0
130,alfa romeo,giulia,2017.0,14-feb-2018,sports car,"parf car, premium ad car",auto,1620.0,375.0,,2891.0,5.0,28610.0,39903.0,2258.0,125123.0,50888.0,89164.0,132496.0,276000.0
131,citroen,berlingo,2009.0,09-sep-2009,van,"coe car, premium ad car",manual,1440.0,133.66807772380292,diesel,1560.0,3.0,7170.0,12916.0,1341.5123687119956,7856.0,73207.97487437187,21528.0,1077.0,24000.0
132,mazda,2,2019.0,31-jul-2019,suv,"parf car, premium ad car",auto,1576.0,121.0,,1998.0,1.0,12040.0,52410.0,1210.0,56978.0,22000.0,23825.0,25355.0,118800.0
133,lexus,is,2006.0,13-jul-2006,luxury sedan,"coe car, premium ad car",auto,1625.0,153.0,,2500.0,3.0,8370.0,46048.0,2700.0,21952.0,73207.97487437187,36638.0,40302.0,43900.0
134,bmw,530i,2020.0,,luxury sedan,"imported used vehicle, coe car, low mileage car",auto,1540.0,133.66807772380292,,1998.0,2.035421192372677,14484.37163485071,10.0,1210.0,44184.92604233483,13000.0,28488.0,38619.728507336,228800.0
135,volkswagen,scirocco,2011.0,05-oct-2011,sports car,coe car,auto,1285.0,118.0,,1390.0,1.0,6990.0,41823.61992102917,620.0,44184.92604233483,99500.0,26332.0,26332.0,76900.0
136,mitsubishi,lancer,2016.0,13-sep-2016,mid-sized sedan,parf car,auto,1284.0,86.0,,1590.0,1.0,8270.0,53334.0,738.0,37909.0,110377.0,14756.0,14756.0,53900.0
